"Notes","Race","Race Code","State","State Code","Year","Year Code","ICD-10 113 Cause List","ICD-10 113 Cause List Code",Deaths,Population,Crude Rate
,"White","2106-3","Colorado","08","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,5099538,Unreliable
,"White","2106-3","Colorado","08","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,5099538,Unreliable
,"White","2106-3","Colorado","08","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,5130909,Unreliable
,"White","2106-3","Colorado","08","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,5130909,Unreliable
,"White","2106-3","Florida","12","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,12978723,Unreliable
,"White","2106-3","Florida","12","1999","1999","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,12978723,Unreliable
,"White","2106-3","Florida","12","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,13132090,Unreliable
,"White","2106-3","Florida","12","2000","2000","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,13132090,Unreliable
,"White","2106-3","Florida","12","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,13623576,Unreliable
,"White","2106-3","Florida","12","2002","2002","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,13623576,Unreliable
,"White","2106-3","Florida","12","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,14131892,Unreliable
,"White","2106-3","Florida","12","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,14131892,Unreliable
,"White","2106-3","Florida","12","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",35,14428647,0.2
,"White","2106-3","Florida","12","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",34,14428647,0.2
,"White","2106-3","Florida","12","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,14634243,0.1
,"White","2106-3","Florida","12","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,14634243,0.1
,"White","2106-3","Florida","12","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,14750985,0.2
,"White","2106-3","Florida","12","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,14750985,0.2
,"White","2106-3","Florida","12","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,14832937,Unreliable
,"White","2106-3","Florida","12","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,14832937,Unreliable
,"White","2106-3","Florida","12","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",46,14894191,0.3
,"White","2106-3","Florida","12","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",40,14894191,0.3
,"White","2106-3","Florida","12","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",26,14989125,0.2
,"White","2106-3","Florida","12","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,14989125,0.1
,"White","2106-3","Florida","12","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,15148280,0.2
,"White","2106-3","Florida","12","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,15148280,0.1
,"White","2106-3","Florida","12","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",31,15316649,0.2
,"White","2106-3","Florida","12","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",31,15316649,0.2
,"White","2106-3","Florida","12","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",53,15470380,0.3
,"White","2106-3","Florida","12","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",50,15470380,0.3
,"White","2106-3","Florida","12","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",33,15699343,0.2
,"White","2106-3","Florida","12","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",32,15699343,0.2
,"White","2106-3","Florida","12","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",41,15971454,0.3
,"White","2106-3","Florida","12","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",39,15971454,0.2
,"White","2106-3","Florida","12","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",31,16228615,0.2
,"White","2106-3","Florida","12","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,16228615,0.2
,"White","2106-3","Florida","12","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",26,16488470,0.2
,"White","2106-3","Florida","12","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,16488470,0.2
,"White","2106-3","Florida","12","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",32,16721748,0.2
,"White","2106-3","Florida","12","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",31,16721748,0.2
,"White","2106-3","Florida","12","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",37,16854502,0.2
,"White","2106-3","Florida","12","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",35,16854502,0.2
,"White","2106-3","Florida","12","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,17016011,0.2
,"White","2106-3","Florida","12","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,17016011,0.2
,"White","2106-3","Georgia","13","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,5503608,Unreliable
,"White","2106-3","Georgia","13","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,5572036,Unreliable
,"White","2106-3","Georgia","13","2000","2000","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,5572036,Unreliable
,"White","2106-3","Georgia","13","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,5668444,Unreliable
,"White","2106-3","Georgia","13","2001","2001","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,5668444,Unreliable
,"White","2106-3","Georgia","13","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,5727405,Unreliable
,"White","2106-3","Georgia","13","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,5776586,Unreliable
,"White","2106-3","Georgia","13","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,5776586,Unreliable
,"White","2106-3","Georgia","13","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,6223554,Unreliable
,"White","2106-3","Georgia","13","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,6223554,Unreliable
,"White","2106-3","Georgia","13","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,6280506,Unreliable
,"White","2106-3","Georgia","13","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,6280506,Unreliable
,"White","2106-3","Georgia","13","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,6317264,Unreliable
,"White","2106-3","Georgia","13","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,6317264,Unreliable
,"White","2106-3","Georgia","13","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",43,6329913,0.7
,"White","2106-3","Georgia","13","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",42,6329913,0.7
,"White","2106-3","Georgia","13","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",55,6358763,0.9
,"White","2106-3","Georgia","13","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",55,6358763,0.9
,"White","2106-3","Georgia","13","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",47,6392399,0.7
,"White","2106-3","Georgia","13","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",46,6392399,0.7
,"White","2106-3","Georgia","13","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",27,6410781,0.4
,"White","2106-3","Georgia","13","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,6410781,0.4
,"White","2106-3","Georgia","13","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",26,6444657,0.4
,"White","2106-3","Georgia","13","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,6444657,0.4
,"White","2106-3","Georgia","13","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",26,6466753,0.4
,"White","2106-3","Georgia","13","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,6466753,0.4
,"White","2106-3","Georgia","13","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,6501503,Unreliable
,"White","2106-3","Georgia","13","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,6501503,Unreliable
,"White","2106-3","Georgia","13","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,6514563,Unreliable
,"White","2106-3","Georgia","13","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,6514563,Unreliable
,"White","2106-3","Idaho","16","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1496784,Unreliable
,"White","2106-3","Idaho","16","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1496784,Unreliable
,"White","2106-3","Illinois","17","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,9981520,Unreliable
,"White","2106-3","Illinois","17","2000","2000","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,9981520,Unreliable
,"White","2106-3","Illinois","17","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,10015499,Unreliable
,"White","2106-3","Illinois","17","2001","2001","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,10015499,Unreliable
,"White","2106-3","Illinois","17","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,10054436,Unreliable
,"White","2106-3","Illinois","17","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,10054436,Unreliable
,"White","2106-3","Illinois","17","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,10078343,Unreliable
,"White","2106-3","Illinois","17","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,10078343,Unreliable
,"White","2106-3","Illinois","17","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,10102663,0.2
,"White","2106-3","Illinois","17","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,10102663,Unreliable
,"White","2106-3","Illinois","17","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,10123738,Unreliable
,"White","2106-3","Illinois","17","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,10123738,Unreliable
,"White","2106-3","Illinois","17","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,10136715,Unreliable
,"White","2106-3","Illinois","17","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,10136715,Unreliable
,"White","2106-3","Illinois","17","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,10152278,0.2
,"White","2106-3","Illinois","17","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,10152278,0.2
,"White","2106-3","Illinois","17","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,10140667,Unreliable
,"White","2106-3","Illinois","17","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,10140667,Unreliable
,"White","2106-3","Illinois","17","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,10129482,0.2
,"White","2106-3","Illinois","17","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,10129482,Unreliable
,"White","2106-3","Illinois","17","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,10101430,Unreliable
,"White","2106-3","Illinois","17","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,10101430,Unreliable
,"White","2106-3","Illinois","17","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,10058772,0.2
,"White","2106-3","Illinois","17","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,10058772,0.2
,"White","2106-3","Illinois","17","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,10006563,Unreliable
,"White","2106-3","Illinois","17","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,10006563,Unreliable
,"White","2106-3","Illinois","17","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,9988400,0.2
,"White","2106-3","Illinois","17","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,9988400,0.2
,"White","2106-3","Illinois","17","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,9917646,Unreliable
,"White","2106-3","Illinois","17","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,9917646,Unreliable
,"White","2106-3","Illinois","17","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,9854559,Unreliable
,"White","2106-3","Illinois","17","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,9854559,Unreliable
,"White","2106-3","Illinois","17","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,9751287,0.2
,"White","2106-3","Illinois","17","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",23,9751287,0.2
,"White","2106-3","Indiana","18","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,5664810,Unreliable
,"White","2106-3","Indiana","18","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,5664810,Unreliable
,"White","2106-3","Indiana","18","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,5681764,Unreliable
,"White","2106-3","Indiana","18","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,5681764,Unreliable
,"White","2106-3","Indiana","18","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,5693566,Unreliable
,"White","2106-3","Indiana","18","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,5693566,Unreliable
,"White","2106-3","Indiana","18","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",36,5711984,0.6
,"White","2106-3","Indiana","18","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",35,5711984,0.6
,"White","2106-3","Indiana","18","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",32,5717757,0.6
,"White","2106-3","Indiana","18","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",31,5717757,0.5
,"White","2106-3","Indiana","18","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,5732863,0.4
,"White","2106-3","Indiana","18","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",23,5732863,0.4
,"White","2106-3","Indiana","18","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,5740600,0.5
,"White","2106-3","Indiana","18","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,5740600,0.5
,"White","2106-3","Indiana","18","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",40,5745559,0.7
,"White","2106-3","Indiana","18","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",40,5745559,0.7
,"White","2106-3","Indiana","18","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",43,5744213,0.7
,"White","2106-3","Indiana","18","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",43,5744213,0.7
,"White","2106-3","Indiana","18","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,5758280,0.5
,"White","2106-3","Indiana","18","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,5758280,0.5
,"White","2106-3","Indiana","18","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,5763803,Unreliable
,"White","2106-3","Indiana","18","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,5763803,Unreliable
,"White","2106-3","Indiana","18","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",29,5780770,0.5
,"White","2106-3","Indiana","18","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,5780770,0.5
,"White","2106-3","Indiana","18","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,5781775,0.4
,"White","2106-3","Indiana","18","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",24,5781775,0.4
,"White","2106-3","Iowa","19","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2888971,Unreliable
,"White","2106-3","Iowa","19","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2888971,Unreliable
,"White","2106-3","Iowa","19","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2895505,Unreliable
,"White","2106-3","Iowa","19","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2895505,Unreliable
,"White","2106-3","Kansas","20","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,2508363,Unreliable
,"White","2106-3","Kansas","20","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,2508363,Unreliable
,"White","2106-3","Kansas","20","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2525097,Unreliable
,"White","2106-3","Kansas","20","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2525097,Unreliable
,"White","2106-3","Kansas","20","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2538944,Unreliable
,"White","2106-3","Kansas","20","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,2560201,Unreliable
,"White","2106-3","Kentucky","21","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,3846623,Unreliable
,"White","2106-3","Kentucky","21","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,3846623,Unreliable
,"White","2106-3","Kentucky","21","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,3872310,Unreliable
,"White","2106-3","Kentucky","21","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,3872310,Unreliable
,"White","2106-3","Kentucky","21","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,3904888,Unreliable
,"White","2106-3","Kentucky","21","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,3904888,Unreliable
,"White","2106-3","Kentucky","21","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,3932899,Unreliable
,"White","2106-3","Kentucky","21","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,3932899,Unreliable
,"White","2106-3","Kentucky","21","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,3945716,Unreliable
,"White","2106-3","Kentucky","21","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,3945716,Unreliable
,"White","2106-3","Kentucky","21","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,3952664,0.6
,"White","2106-3","Kentucky","21","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,3952664,0.6
,"White","2106-3","Kentucky","21","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,3959768,Unreliable
,"White","2106-3","Kentucky","21","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,3959768,Unreliable
,"White","2106-3","Kentucky","21","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,3966164,0.6
,"White","2106-3","Kentucky","21","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,3966164,0.6
,"White","2106-3","Kentucky","21","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,3963276,Unreliable
,"White","2106-3","Kentucky","21","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,3963276,Unreliable
,"White","2106-3","Kentucky","21","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,3963013,0.6
,"White","2106-3","Kentucky","21","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,3963013,0.6
,"White","2106-3","Louisiana","22","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2940900,Unreliable
,"White","2106-3","Louisiana","22","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,2940900,Unreliable
,"White","2106-3","Louisiana","22","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,2971695,Unreliable
,"White","2106-3","Louisiana","22","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,2971695,Unreliable
,"White","2106-3","Louisiana","22","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,2980699,Unreliable
,"White","2106-3","Louisiana","22","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,2980699,Unreliable
,"White","2106-3","Louisiana","22","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,2990198,0.7
,"White","2106-3","Louisiana","22","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2990198,0.7
,"White","2106-3","Louisiana","22","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,2993420,0.7
,"White","2106-3","Louisiana","22","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2993420,0.7
,"White","2106-3","Louisiana","22","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,2988801,0.7
,"White","2106-3","Louisiana","22","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2988801,0.7
,"White","2106-3","Louisiana","22","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2958038,Unreliable
,"White","2106-3","Louisiana","22","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2958038,Unreliable
,"White","2106-3","Louisiana","22","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,2946293,Unreliable
,"White","2106-3","Louisiana","22","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,2946293,Unreliable
,"White","2106-3","Maryland","24","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,3578891,Unreliable
,"White","2106-3","Maryland","24","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,3578891,Unreliable
,"White","2106-3","Maryland","24","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,3579667,Unreliable
,"White","2106-3","Maryland","24","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,3579667,Unreliable
,"White","2106-3","Maryland","24","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,3623463,Unreliable
,"White","2106-3","Maryland","24","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,3623463,Unreliable
,"White","2106-3","Maryland","24","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,3643426,Unreliable
,"White","2106-3","Maryland","24","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,3643426,Unreliable
,"White","2106-3","Massachusetts","25","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,5656810,Unreliable
,"White","2106-3","Massachusetts","25","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,5656810,Unreliable
,"White","2106-3","Massachusetts","25","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,5666330,Unreliable
,"White","2106-3","Massachusetts","25","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,5666330,Unreliable
,"White","2106-3","Massachusetts","25","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,5670599,Unreliable
,"White","2106-3","Massachusetts","25","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,5670599,Unreliable
,"White","2106-3","Massachusetts","25","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,5619604,Unreliable
,"White","2106-3","Massachusetts","25","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,5619604,Unreliable
,"White","2106-3","Michigan","26","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,8246288,0.4
,"White","2106-3","Michigan","26","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",29,8246288,0.4
,"White","2106-3","Michigan","26","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,8231910,0.3
,"White","2106-3","Michigan","26","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,8231910,0.3
,"White","2106-3","Michigan","26","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,8208506,Unreliable
,"White","2106-3","Michigan","26","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,8208506,Unreliable
,"White","2106-3","Michigan","26","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,8170744,Unreliable
,"White","2106-3","Michigan","26","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,8170744,Unreliable
,"White","2106-3","Michigan","26","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,8118649,Unreliable
,"White","2106-3","Michigan","26","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,8118649,Unreliable
